poi;lat;long
Estatua da Liberdade;40.6892494;-74.04450039999999
Central Park;40.7828647;-73.9653551
Times Square;40.7579747;-73.9855426
Empire State Building;40.7484405;-73.98566439999999
Rockefeller Center;40.7587402;-73.9786736
Ponte do Brooklyn;40.7060855;-73.9968643
High Line;40.7479925;-74.0047649
Metropolitan Museum of Art;40.7794366;-73.963244
One World Trade Center;40.7127431;-74.0133795
Estação Grand Central;40.7527262;-73.9772294
The Museum of Modern Art;40.7614327;-73.97762159999999
Memorial & Museu Nacional do 11 de Setembro;40.7115215;-74.0135111
Quinta Avenida;20.6406959;-87.0621137
Broadway;36.1510606;-95.98244299999999
Parque Bryant;40.7535965;-73.9832326
Museu Solomon R. Guggenheim;40.7829796;-73.9589706
Coney Island;40.5755438;-73.9707016
Battery Park;40.7032775;-74.0170279
Plaza Hotel;40.7644691;-73.9744877
Chrysler Building;40.7516208;-73.97550199999999
Chinatown;40.7157509;-73.9970307
Prospect Park;40.6602037;-73.9689558
Flatiron Building;40.7410605;-73.9896986
Catedral de São Patrício;40.7586117;-73.9761953
Chelsea Market;40.7424396;-74.0061439
Washington Square Park;40.7308228;-73.997332
Museu Americano de História Natural;40.7813241;-73.9739882
Little Italy;32.7231571;-117.1676549
Jardim Botânico do Brooklyn;40.6694123;-73.9624185
Zoológico do Bronx;40.8505949;-73.8769982
Jardim Botânico de Nova Iorque;40.8623889;-73.8772481
Balsa de Staten Island;40.67284069999999;-74.04450680000001
Radio City Music Hall;40.75997599999999;-73.9799772
Intrepid Sea, Air & Space Museum;40.7645266;-73.99960759999999
Madison Square Garden;40.7505045;-73.9934387
Parque da Ponte do Brooklyn;40.6995399;-73.9973777
Top of the Rock;36.535959;-93.24804499999999
Whitney Museum of American Art;40.7395877;-74.0088629
Cloisters;40.8648628;-73.9317274
Ponte de Manhattan;40.7074959;-73.99077419999999
Zoológico do Central Park;40.767778;-73.9718335
Ilha da Liberdade;40.6895453;-74.0449292
Madison Square Park;40.74259989999999;-73.98777009999999
Bethesda Terrace;40.7738225;-73.9708185
Circle Line Sightseeing Cruises;40.7628839;-74.0017135
Lincoln Center;40.7724641;-73.9834889
Flushing Meadows-Corona Park;40.73971359999999;-73.840785
Columbus Circle;40.767848;-73.98152189999999
Organização das Nações Unidas;40.7488758;-73.9680091
Brooklyn Museum;40.6712062;-73.9636306
Strawberry Fields;40.775753;-73.9752124
Ilha Roosevelt;40.76050310000001;-73.9509934
Brooklyn Bridge;40.7060855;-73.9968643
Liberty State Park;40.7030799;-74.0537191
Museu Tenement;40.7187958;-73.99006969999999
Castelo Belvedere;40.7794302;-73.9690677
The Tour at NBC Studios;40.7593651;-73.98009789999999
One World Observatory;40.7133444;-74.0133677
Wollman Rink;40.7677792;-73.9744673
Coleção Frick;40.771209;-73.9673991
Yankee Stadium;40.8296426;-73.9261745
Ponte George Washington;40.8516964;-73.9527159
Aquário de Nova York;40.5742632;-73.9748754
Museu da Cidade de Nova York;40.7924939;-73.95190889999999
Touro de Wall Street;40.7055537;-74.0134436
Federal Hall;40.7073993;-74.0102088
Riverside Park;37.2412619;-95.7034499
Porto de Nova Iorque;40.6180585;-74.0666722
New Museum;40.7223376;-73.9928905
Museu do Trânsito de Nova York;40.6904254;-73.9889343
Carnegie Hall;40.7651258;-73.97992359999999
Brookfield Place;40.7127168;-74.01528239999999
Astoria;40.7643574;-73.92346189999999
Igreja da Trindade;40.7080624;-74.0121849
New York City Hall;40.7127744;-74.006059
Woolworth Building;40.71243;-74.0083547
Árvore de Natal do Rockefeller Center;40.7587105;-73.97858719999999
34th Street;40.7527048;-73.9946703
Ponte Verrazano-Narrows;40.6066162;-74.0446602
Snug Harbor Cultural Center & Botanical Garden;40.6433718;-74.1027431
Ponte do Queensboro;40.75673159999999;-73.9542239
Museu do Sexo;40.74410640000001;-73.98741129999999
Pierpont Morgan Library;40.7492258;-73.9813971
Queens Museum;40.7458034;-73.8467192
Apollo Theater;40.810018;-73.95005600000002
Madame Tussauds em Nova York;40.7564269;-73.9888338
Vessel;40.753759;-74.0021512
Madison Avenue;40.7788867;-73.9602326
Canal Street;42.3348589;-85.3501981
Macy's Herald Square;40.7508025;-73.98948349999999
Bushwick;40.6957755;-73.9170604
Brooklyn Heights Promenade;40.6961936;-73.9975036
Hudson River Park;40.7331168;-74.0108977
Teleférico da Ilha Roosevelt;40.7615945;-73.964576
Castle Clinton;40.7034401;-74.0168023
Jacqueline Kennedy Onassis Reservoir;40.785719;-73.9639021
Wave Hill Public Gardens;40.89785029999999;-73.9114477
Metropolitan Opera;40.7728233;-73.98463439999999
Gramercy Park;40.7367783;-73.9844722
